Village,District,Date_Completed,Depth_of_overburden,Total_Depth,Depth_drilled_in_bedrock,BH Depth_1,BH Depth_2,BH Depth_3,BH Depth_4,Yield_L/s_1,Yield_L/s_2,Yield_L/s_3,Yield_L/s_4,Lithology_1,Lithology_2,Static_Water_Level,Stabilized_discharge(L/s),Altitude_(m),Date_Lab,Ph,Electrical Conductivity (EC),Total dissolved solids,Turbidity,Colour,Alkalinity,Hardness,Chloride,Nitrate,Nitrite,Iron,Copper,Flouride,Sulphate,E.coli,Number,Suspended solids (total),Manganese,Total Coliforms,Nitrate_below_threshold,Nitrate_above_threshold,Ecoli_below_threshold,Ecoli_above_threshold,lat,long
Lokiyengunet Village,Karamoja,1-Feb-17,20,59.34,30,28,34,43,,,,,,Clay,,4.36,1.77778,1132.0,11/24/2016,7.3,418.0,340.0,2.0,8.0,230.0,210.0,35.0,0.01,,0.02,,0.17,32.0,,,0.0,,,0.01,,,,1.797814165866405,34.58853058112055
Kanangakinoi Village,Karamoja,1-Mar-17,7,73.32,66,,,,,,,,,Clay,,27.85,0.694444,1105.0,11/24/2016,7.38,582.0,328.0,1.0,11.0,294.0,240.0,36.8,0.01,,0.0,,0.16,11.0,,,0.0,,,0.01,,,,1.896497578566726,34.46832616929153
Nabukut Village,Karamoja,1-Feb-17,17,64.05,47,30-31,39-40,,,,,,,"Sand, Clay",,4.89,1.125,1109.0,11/24/2016,7.38,546.0,368.0,1.0,9.0,,230.0,36.4,0.03,,0.024,,0.12,18.0,,,0.0,,,0.03,,,,1.9026132314388653,34.528420008322676
Kobeyon Village,Karamoja,1-Feb-17,12,59.5,47,24-26,30,34-36,38-40,,,,,Clay,,4.26,2.41667,1096.0,11/24/2016,7.41,623.0,308.0,1.0,10.0,264.0,198.0,35.2,0.01,,0.02,,0.14,20.0,,,0.0,,,0.01,,,,1.8417985215287782,34.51079542082647
Ajokokipi Village,Nakapiripirit,20-Jul-22,10,70.0,60,34-35,38-39,43-44,50-53,0.14,0.26,0.17,0.83,Clay,Quartzite,18.77,2.18,1117.0,3/23/2022,7.5,730.0,511.0,59.9,115.0,215.0,240.0,13.0,5.7,,0.39,,0.38,,,,,,,5.7,,,,1.867030941999869,34.552639202339584
Napongae Village - North Test,Karamoja,In-Process,6,72.0,66,15-17,20-23,27-28,39-40,0.85,0.21,0.61,0.15,Sandy Clay,Granite,2.75,2.28,1161.0,7/21/2023,7.18,2140.0,1149.0,1.0,,530.1,740.6,329.9,2.1,,,,,172.0,,,1.0,0.353,,2.1,,,,1.9952705898201177,34.54571734667474
Okutot Village,Karamoja,In-Process,6,90.0,84,21-23,40-42,50-51,60-64,0.14,0.3,0.03,0.14,Sandy Clay,Quartzite and Granite,20.06,0.68,1117.0,1/13/2023,6.42,701.0,430.0,,,383.8,325.6,7.0,1.22,,0.02,,0.42,,,,,0.006,,1.22,,,,1.9507957844127886,34.48235937899967
Moru Angamion Village,Karamoja,In-Process,6,72.0,66,51-52,,,,0.75,,,,Clay,Granite,29.64,1.33333,1119.0,11/18/2022,6.39,1385.0,736.0,4.0,,499.7,566.9,86.96,14.5,0.016,0.01,,0.44,37.0,4.0,,3.8,0.017,6.0,,14.5,,4.0,1.9300588142921138,34.48086715737018
Lokitela Lokwa Village,Nakapiripirit,In-Process,6,72.0,66,21-24,27-28,39-40,54-56,1.61,0.26,0.21,0.17,Thick Clay,Granite,5.07,2.27,1118.0,6/13/2023,7.67,936.0,498.0,16.0,3.0,480.7,74.66,12.0,0.99,0.001,0.03,,0.37,,,,16.0,,,0.99,,,,1.7456581159935511,34.56811155759369
Lodoket Angitome Village,Nakapiripirit,In-Process,6,90.0,84,36-38,45-46,57,65,0.39,0.14,0.06,0.06,Brown Clay,Granite,13.83,0.69,1261.0,6/29/2023,7.65,1458.0,773.0,3.0,,509.2,291.2,79.98,28.4,0.041,,,,11.0,,,3.0,0.004,,,28.4,,,1.8462703581108157,34.68623333194113
Nasinyonoit C Village,Nabilatuk,In-Process,12,66.0,54,39-40,46-47,58-59,,4.17,1.39,0.56,,Sandy Clay,Granite,16.79,8.94,1123.0,6/7/2023,7.46,768.0,406.0,,,399.0,296.3,8.0,1.17,0.001,,,0.53,21.0,,,,,,1.17,,,,1.9738658919798602,34.49413731043713
Napongae Village - South Test,Karamoja,In-Process,6,60.0,44,15-18,20-22,38,47,1.53,2.22,0.08,0.056,Clay,Granite,9.67,3.3,1133.0,5/24/2023,7.55,2230.0,1200.0,2.0,,456.3,755.6,259.9,0.72,0.001,,,0.63,150.0,,,,0.444,,0.72,,,,1.998504067370644,34.5406326482024
